PG_name,features,type,allowed_values,description
All Other Miscellaneous Toys,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
All Other Miscellaneous Toys,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
All Other Miscellaneous Toys,TYPE,closed_set,Trading Cards & Collectible; Stickers; Trading Card Games; Stickers & Stickerbooks & Tattoos; Kids Furniture; Bath Toys; Other Toys,Type of the toy/ Category
All Other Miscellaneous Toys,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
All Other Miscellaneous Toys,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
All Other Miscellaneous Toys,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
All Other Miscellaneous Toys,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
All Other Miscellaneous Toys,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
All Other Miscellaneous Toys,MATERIAL,closed_set,Acrylic; Cardboard; Cloth/Fabric; Eva; Foam; Magnetic; Other; Plastic; Rubber; Vinyl; Wood; Metal; Leather,Specify the main material of the product
All Other Miscellaneous Toys,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
All Other Miscellaneous Toys,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
ARTS/CRAFTS TOYS,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
ARTS/CRAFTS TOYS,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
ARTS/CRAFTS TOYS,TYPE,closed_set,Model Making Kits; Drawing Kits & Sketchbooks & Scratchbooks; Reusable Clay & Dough & Slime; Other Craft Kits; Reusable Design Boards & Mats; Paint Kits; Sculpture Kits,Type of the toy/ Category
ARTS/CRAFTS TOYS,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
ARTS/CRAFTS TOYS,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
ARTS/CRAFTS TOYS,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
ARTS/CRAFTS TOYS,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
ARTS/CRAFTS TOYS,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
ARTS/CRAFTS TOYS,MATERIAL,closed_set,Plastic; Wood; Clay; Rubber; Acrylic; Cardboard; Cloth/Fabric; Dough; Eva; Foam; Magnetic; Porcela biscuit; Vinyl; Metal; Leather; Other,Specify the main material of the product
ARTS/CRAFTS TOYS,TYPE OF VEHICLE,closed_set,Aircraft; Boat; Bus; Car; Motorcycle; Other; Train; Truck; Not Applicable,Type of vehicle. Applies for Type = Model Making Kits
ARTS/CRAFTS TOYS,SCALE SIZE,closed_set,1:10 Scale; 1:12 Scale; 1:18 Scale; Not Applicable,Specify the scale size of the vehicle. Applies for Type = Model Making Kits
ARTS/CRAFTS TOYS,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
ARTS/CRAFTS TOYS,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
Dolls/Fashion Toys,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Dolls/Fashion Toys,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Dolls/Fashion Toys,TYPE,closed_set,Fashion dolls; Fashion doll Accessories; Baby Dolls; Baby Doll Accessories; Standing & Display Dolls; Standing & Display Doll Accessories; Doll Styling Heads; Doll Houses & Accessories; Playset Dolls & Accessories,Type of the toy/ Category
Dolls/Fashion Toys,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Dolls/Fashion Toys,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
Dolls/Fashion Toys,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
Dolls/Fashion Toys,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Dolls/Fashion Toys,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Dolls/Fashion Toys,SIZE,open_set,,Height in CM of the product. Applicable only for Dolls
Dolls/Fashion Toys,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
Dolls/Fashion Toys,ACCESSORY INCLUDED,closed_set,With Accessory; Without Accessory,"Indicates whether the action figure or doll is sold with an accessory, or the product is an action figure accessory/doll accessory"
Dolls/Fashion Toys,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Electr/Educat Toys,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Electr/Educat Toys,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Electr/Educat Toys,TYPE,closed_set,Electronic Toys; Scientific Toys; Electronic Educational Toys; Non-Electronic Educational Toys; Robotic Toys; Projectors,Type of the toy/ Category
Electr/Educat Toys,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Electr/Educat Toys,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
Electr/Educat Toys,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
Electr/Educat Toys,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Electr/Educat Toys,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Electr/Educat Toys,POWER SUPPLY,closed_set,Replaceable battery; Rechargeable Battery; Mains; Non-Powered; Solar-Powered,Indicates the type of power supply used for operation
Electr/Educat Toys,SMARTPHONE CONTROL,closed_set,Yes; No,"The device can be operated by a dedicated software application installed on another device (e.g., smartphone, tablet). The app provides a user interface that allows to adjust settings, initiate actions, receive notifications, gather data, or interact with the device"
Electr/Educat Toys,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Figures/Build Sets,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Figures/Build Sets,TOY MANUF.,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Figures/Build Sets,TYPE TOY,closed_set,Action Figures & Accessories & Playsets; Figures & Playsets; Building Sets; Junior Building sets; Battling Toys & Playsets,Type of the toy/ Category.
Figures/Build Sets,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Figures/Build Sets,TOY LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is"
Figures/Build Sets,SCALE SIZE,closed_set,1:10 Scale; 1:12 Scale; 1:18 Scale; Unknown; Not Applicable,Specify the scale size of the figure
Figures/Build Sets,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Figures/Build Sets,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Figures/Build Sets,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
Figures/Build Sets,SMARTPHONE CONTROL,closed_set,Yes; No,"The device can be operated by a dedicated software application installed on another device (e.g., smartphone, tablet). The app provides a user interface that allows to adjust settings, initiate actions, receive notifications, gather data, or interact with the device"
Figures/Build Sets,REM.CONTROLLED,closed_set,Yes; No,"Indicates whether the product can be operated from a distance, using electrical or radio signals. Wired and wireless remote controls are included"
Figures/Build Sets,ACCESSORY INCLUDED,closed_set,With Accessory; Without Accessory; Not Applicable,"Indicates whether the action figure or doll is sold with an accessory, or the product is an action figure accessory/doll accessory. Not applicable for all other types"
Figures/Build Sets,NUMBER OF PIECE,open_set,,Specify the total number of pieces. Applies only to Type = Building Sets/Junior Building Sets
Figures/Build Sets,MATERIAL TOYS,closed_set,Metal; Wood; Magnetic; Other Material,Specify the main material of the product
Figures/Build Sets,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Figures/Build Sets,THEME,closed_set,Horses; Farm Life; Dinosaurs; Superheroes; Pirates/Vikings; Princesses; Space/Aliens; Rescue Forces; Robots; Wild West; Knights/Dragons; Construction; City Life; Explorer; Magic; Other Cartoon Characters; Other Real Animals; Other,"Indicates whether a toy belongs to a specific topic/idea/concept/scenario. The items under one theme have a cohesive play experience/pattern. A theme is expressed by typical characters, buildings, items/accessories, scenes/settings. The feature is applicable to all kind of toys (figures, playsets,..."
Games/Puzzles,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Games/Puzzles,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Games/Puzzles,TYPE,closed_set,Adult Games; Brainteasers; Card Games; Children Games; Family Games; Action Games; Strategy Games; Puzzles; Travel Games,Type of the toy/ Category
Games/Puzzles,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Games/Puzzles,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
Games/Puzzles,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
Games/Puzzles,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Games/Puzzles,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Games/Puzzles,NUMBER OF PIECES,open_set,,Specify the total number of pieces the puzzle box has
Games/Puzzles,NUM. OF PUZZLES,open_set,,Specify the number of puzzles included in one box
Games/Puzzles,MAX. NUMBER OF PIECES,open_set,,"For boxes containing multiple puzzles, code the maximum number of pieces"
Games/Puzzles,TYPE OF PUZZLE,closed_set,Flat; 3D; 4D; Not Applicable,Specify the dimension of the puzzle
Games/Puzzles,MATERIAL,closed_set,Cardboard; Cloth / fabric; Eva; Foam; Magnetic; Other; Plastic; Rubber; Seasonal; Vinyl; Wood; Metal; Leather,Specify the main material of the product
