PG_name,features,type,allowed_values,description
Games/Puzzles,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Games/Puzzles,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
Infant / Preschool Toys,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Infant / Preschool Toys,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Infant / Preschool Toys,TYPE,closed_set,Infant & Preschool Electronic Learning Toys; Infant & Preschool Non-Electronic Learning Toys; Infant & Preschool Electronic Toys; Infant & Preschool Vehicles; Infant & Preschool Push & Pull Toys; Infant Plush; Toy Rattles & Teethers & Toy Pacifiers; Mobiles; Playnests & Playgyms; Walkers; Sit-in Jumpers; Other Infant & Preschool Toys,"Type of the toy/ Category. Infant & Preschool Electronic Learning Toys This type includes electronic toys for infant and/or preschool children whose primary play pattern is learning, e.g. numbers, the alphabet, matching, counting, etc. They must have an electronic feature like lights, music, etc...."
Infant / Preschool Toys,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Infant / Preschool Toys,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
Infant / Preschool Toys,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
Infant / Preschool Toys,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Infant / Preschool Toys,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Infant / Preschool Toys,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
Infant / Preschool Toys,MATERIAL,closed_set,Cardboard; Cloth / fabric; Eva; Foam; Magnetic; Nylon; Other; Plastic; Rubber; Seasonal; Vinyl; Wood; Metal; Leather,Specify the main material of the product
Infant / Preschool Toys,THEME,closed_set,Horses; Farm Life; Dinosaurs; Superheroes; Pirates/Vikings; Princesses; Space/Aliens; Rescue Forces; Robots; Wild West; Knights/Dragons; Construction; City Life; Explorer; Magic; Other Cartoon Characters; Other Real Animals; Other,"Indicates whether a toy belongs to a specific topic/idea/concept/scenario. The items under one theme have a cohesive play experience/pattern. A theme is expressed by typical characters, buildings, items/accessories, scenes/settings. The feature is applicable to all kind of toys (figures, playsets,..."
Infant / Preschool Toys,TYPE OF VEHICLE,closed_set,Aircraft; Boat; Bus; Car; Motorcycle; Other; Train; Truck; Not Applicable,Type of vehicle. Applies for Type = Infant & Preschool Vehicles
Infant / Preschool Toys,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Infant / Preschool Toys,REMOTE CONTROLLED,closed_set,Yes; No,"Indicates whether the product can be operated from a distance, using electrical or radio signals. Wired and wireless remote controls are included"
Infant / Preschool Toys,POWER SUPPLY,closed_set,Replaceable battery; Rechargeable Battery; Non-Powered; Friction/Pump/Pull Back Vehicles,Indicates the type of power supply used for operation
Infant / Preschool Toys,SCALE SIZE,closed_set,1:10 Scale; 1:12 Scale; 1:18 Scale; Not Applicable,Specify the scale size of the vehicle
PLUSH/PUPPETS TOYS,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
PLUSH/PUPPETS TOYS,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
PLUSH/PUPPETS TOYS,TYPE,closed_set,Plush Toys; Plush Accessories; Hand & Figure Puppets,Type of the toy/ Category
PLUSH/PUPPETS TOYS,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
PLUSH/PUPPETS TOYS,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
PLUSH/PUPPETS TOYS,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
PLUSH/PUPPETS TOYS,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
PLUSH/PUPPETS TOYS,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
PLUSH/PUPPETS TOYS,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
PLUSH/PUPPETS TOYS,SIZE,open_set,,Height in CM of the product
PLUSH/PUPPETS TOYS,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
PLUSH/PUPPETS TOYS,THEME,closed_set,Horses; Farm Life; Dinosaurs; Superheroes; Pirates/Vikings; Princesses; Space/Aliens; Rescue Forces; Robots; Wild West; Knights/Dragons; Construction; City Life; Explorer; Magic; Other Cartoon Characters; Other Real Animals; Other,"Indicates whether a toy belongs to a specific topic/idea/concept/scenario. The items under one theme have a cohesive play experience/pattern. A theme is expressed by typical characters, buildings, items/accessories, scenes/settings. The feature is applicable to all kind of toys (figures, playsets,..."
Pretend Play,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Pretend Play,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Pretend Play,TYPE,closed_set,Other pretend play; Real working appliances; Magic sets; Musical instruments,Describes the type of the toy
Pretend Play,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Pretend Play,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Pretend Play,MATERIAL,closed_set,Plastic; Wood; Clay; Rubber; Acrylic; Cardboard; Cloth/Fabric; Dough; Eva; Foam; Magnetic; Porcela biscuit; Vinyl; Metal; Leather; Others,Specify the main material of the product
Pretend Play,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
Pretend Play,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Pretend Play,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
Pretend Play,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
Pretend Play,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
SPORTS/LEIS. TOYS,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
SPORTS/LEIS. TOYS,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
SPORTS/LEIS. TOYS,POWER SUPPLY,closed_set,Replaceable battery; Rechargeable Battery; Non-Powered; Pedal; Mains; Not Applicable,"Indicates the type of power supply used for operation. Applies to types: Other ride-ons, Scooters, Skateboards, Tricycles & Trikes, Balance bikes"
SPORTS/LEIS. TOYS,TYPE,closed_set,Tricycles & Trikes; Balance Bikes; Wagons; Scooters; Roller & Inline Skates; Skateboards; Sledges; Ice-Skates; Other Ride-Ons; Bubble Toys & Supplies; Pools; Beach & Sand Toys; Water Guns; Blasters; Indoor Play Mats & Tents & Tunnels; Outdoor Play Equipment; Sports Toys & Games,Type of the toy/ Category. Tricycles & Trikes Tricycles/trikes are three wheeled sit-on vehicles. The motion must be done via pedals. They may have a push handle for adults to acuate the tricycle. Balance Bikes Special bicycles with a seat and two wheels that allow children to learn how to balance...
SPORTS/LEIS. TOYS,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
SPORTS/LEIS. TOYS,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
SPORTS/LEIS. TOYS,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
SPORTS/LEIS. TOYS,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
SPORTS/LEIS. TOYS,MATERIAL,closed_set,Acrylic; Cardboard; Clay; Eva; Foam; Magnetic; Other; Plastic; Rubber; Vinyl; Wood; Metal; Leather,Specify the main material of the product
SPORTS/LEIS. TOYS,TYPE OF SPORTS,closed_set,Football/Soccer; Basketball; Volleyball; Tennis; Table Tennis; Frisbee; Baseball; Boxing; Badminton; Hockey; Darts; Golf; Other Sports/Games; Multiple Sports; Not Applicable,Indicates for what kind of sports the product is intended to be used for. Only relevant for Type = Sports Toys. For all other code Not Applicable
SPORTS/LEIS. TOYS,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Vehicles / Playsets,BRAND,open_set,,"A brand is a property such as a name, logo or symbol that is owned by a specific manufacturer and used to distinguish its products from those of other companies. The examples apply to all product groups in Toys Panel"
Vehicles / Playsets,MANUFACTURER,open_set,,Describes the company that is the owner/manufacturer of a brand. One manufacturer can own several brands. In case a license is coded as brand do not code the license owner but the manufacturer of the product (as mentioned on the package)
Vehicles / Playsets,TYPE OF VEHICLE,closed_set,Aircraft; Boat; Bus; Car; Motorcycle; Other; Train; Truck,Type of vehicle
Vehicles / Playsets,SMARTPHONE CONTROL,closed_set,Yes; No,"The device can be operated by a dedicated software application installed on another device (e.g., smartphone, tablet). The app provides a user interface that allows to adjust settings, initiate actions, receive notifications, gather data, or interact with the device"
Vehicles / Playsets,SCALE SIZE,closed_set,1:10 Scale; 1:12 Scale; 1:18 Scale,Specify the scale size of the vehicle
Vehicles / Playsets,TYPE,closed_set,Vehicles; Vehicle Playsets & Accessories; Non-powered Mini Vehicles; Finger Sport Vehicles,Specify the scale size of the vehicle
Vehicles / Playsets,PRODUCT SERIES,open_set,,"Group of products that are created under a single brand that are similar and focus on the same market sector. One brand can have multiple Product series. When three or more products are sold under one name, the items under this umbrella are considered as ""products series"". These products may or may..."
Vehicles / Playsets,LICENSE,open_set,,"A license enables a company (licensee) to market its products using a name, logo, brand, etc. that is owned by another company (licensor). Examples: • Trefl markets a puzzle using the Barbie name (owned by Mattel) • All Lego Star Wars products (Star Wars license is owned by Disney) • Mattel markets..."
Vehicles / Playsets,PROPERTIES,open_set,,"Combination of all items under a product series, a license and a licensed product series. All products containing a product series, or a license have a mandatory Property: • When the item doesn’t have a product series or a license (None product series and none license), it's none property too. • If..."
Vehicles / Playsets,SERIAL ID,open_set,,"This is the Identification code used to identify an item in a global way, it may refer to a long numeric or alpha-numeric codes. Please do not used model codes as serial IDs, add those values at the end of every Мodeltext. (EAN-OEM)"
Vehicles / Playsets,RECOMMENDED AGE,open_set,,"The recommended age given by the manufacturer. In case a range is mentioned, please code the starting age from it"
Vehicles / Playsets,SEASONAL ITEM,closed_set,Christmas; Easter; Valentine’s Day; Halloween; Chinese New Year; No Seasonal Item,"Indicates whether the toy is specifically designed to celebrate a defined seasonal event by using related characters, symbols, decoration, etc"
Vehicles / Playsets,THEME,closed_set,Horses; Farm Life; Dinosaurs; Superheroes; Pirates/Vikings; Princesses; Space/Aliens; Rescue Forces; Robots; Wild West; Knights/Dragons; Construction; City Life; Explorer; Magic; Other Cartoon Characters; Other Real Animals; Other,"Indicates whether a toy belongs to a specific topic/idea/concept/scenario. The items under one theme have a cohesive play experience/pattern. A theme is expressed by typical characters, buildings, items/accessories, scenes/settings. The feature is applicable to all kind of toys (figures, playsets,..."
Vehicles / Playsets,MATERIAL,closed_set,Acrylic; Cardboard; Clay; Eva; Foam; Magnetic; Other; Plastic; Rubber; Vinyl; Wood; Metal; Leather,Specify the main material of the product
Vehicles / Playsets,REMOTE CONTROLLED,closed_set,Yes; No,"Indicates whether the product can be operated from a distance, using electrical or radio signals. Wired and wireless remote controls are included"
Vehicles / Playsets,POWER SUPPLY,closed_set,Replaceable battery; Rechargeable Battery; Mains; Non-Powered; Friction/Pump/Pull Back Vehicles; Solar-Powered,Indicates the type of power supply used for operation
Vehicles / Playsets,ELECTRONIC FEATURE,closed_set,With Electronic Feature; Without Electronic Feature,"Products with any kind of electronic function that adds a special feature (talking, walking, music, light, movement). Batteries are required"
